opening_range_minutes,impulse_lookback_bars,min_opening_move_pct,min_opening_range_pct,min_relative_volume,fib_lower,fib_upper,vwap_tolerance_pct,max_extension_from_vwap_pct,stop_buffer_pct,risk_per_trade_pct,daily_loss_limit_pct,target_r_multiple,partial_exit_r_multiple,trailing_exit_on_vwap_loss,min_vwap_slope_pct,min_opening_range_close_location,min_regime_strength_pct,max_positions,allow_short,slippage_bps,commission_per_order,folds,avg_train_profit_factor,avg_validation_profit_factor,median_validation_profit_factor,avg_validation_net_profit,total_validation_net_profit,avg_validation_win_rate
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.001,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.9200775384892497,2.8933871481399382,0.0,0.7839653497600239,4.703792098560143,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.001,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8655492263250935,2.8933871481399382,0.0,0.5468504501415813,3.2811027008494875,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.001,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7672354444686391,2.8933871481399382,0.0,0.3097355505231197,1.8584133031387182,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.001,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,6.176698550236842,2.5113566764336435,0.0,-0.36010320612336955,-2.1606192367402173,0.3611111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.001,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,6.196562402170316,2.5113566764336435,0.0,-0.5202822790964584,-3.1216936745787507,0.3611111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.001,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,6.182143318056006,2.5113566764336435,0.0,-0.6804613520695474,-4.082768112417284,0.3611111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.001,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8482325167159092,2.407641593049391,0.0,-0.21250894357073472,-1.2750536614244083,0.3333333333333333
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.001,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,6.038019357221394,2.407641593049391,0.0,-0.21250894357073472,-1.2750536614244083,0.3333333333333333
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.001,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.879728349794318,2.407641593049391,0.0,-0.3726880165438236,-2.2361280992629418,0.3333333333333333
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.001,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,6.085258006567209,2.407641593049391,0.0,-0.3726880165438236,-2.2361280992629418,0.3333333333333333
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.001,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.865761529792468,2.407641593049391,0.0,-0.5328670895169125,-3.197202537101475,0.3333333333333333
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.001,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,8.548438213058665,2.407641593049391,0.0,-0.5328670895169125,-3.197202537101475,0.3333333333333333
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.002,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.31969042831486394,0.0,-0.30286089185678594,-1.8171653511407158,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.002,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.31969042831486394,0.0,-0.35516888844233563,-2.1310133306540138,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.002,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.31969042831486394,0.0,-0.4560220156497697,-2.7361320938986182,0.4444444444444444
